Rk,Player,PlayerName,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Blank,ORtg,DRtg,TeamPace,AdjORtg,AdjDRtg,avgMin,IndPos,Ortg/Min,DRtg/Min,Diff,Salary,Dollar/OffCont,Dollar/DefCont,Dollar/ContDiff,Dollar/Minute,Dollar/game,
275,Jordan Mickey\mickejo01,Maurice Ndour,PF,22,BOS,8,0,66,6,12.8,0.471,0,0,,6,12.8,0.471,1.5,3.8,0.4,3.8,6.8,10.6,2.3,0.8,0,3,6,13.6,,92,110,98.4,90.528,108.24,8.25,16.91,15.31,18.31,-3.00,543471,250.36,23702.51,153369.17,641.39,6627.7,Jordan Mickey
276,C.J. Miles\milescj01,Jameer Nelson,SF,29,IND,13,3,297,9.9,20.1,0.492,4.9,10.2,0.484,4.9,9.9,0.5,3.1,3.5,0.905,0.8,5.1,5.9,1.6,2.1,1.5,1,4,27.9,,125,105,101.4,126.75,106.47,22.85,48.26,61.17,51.39,9.79,4540525,1011.57,82158.35,-8626626.43,2253.52,55372.26,C.J. Miles
277,Mike Miller\millemi01,Raul Neto,SF,36,DEN,3,0,13,11.2,14.9,0.75,11.2,14.9,0.75,0,0,,0,0,,0,7.4,7.4,7.4,0,0,3.7,3.7,33.5,,168,112,90.8,152.544,101.696,4.33,8.20,12.50,8.34,4.17,937800,5823.62,216660.24,-396598.41,4901.39,11436.59,Mike Miller
278,Patrick Mills\millspa02,Georges Niang,PG,28,SAS,17,4,397,8.4,16.8,0.5,4.1,9.8,0.421,4.3,7,0.611,3.6,3.8,0.966,1,3.2,4.3,7.5,1.3,0,2.8,3.5,24.6,,126,110,100.4,126.504,110.44,23.35,48.85,61.79,53.95,7.85,650000,1148.7,42668.72,-78003.75,1278.52,7926.83,Patrick Mills
279,Paul Millsap\millspa01,Andrew Nicholson,PF,31,ATL,18,18,584,9,20.7,0.438,1.5,4.6,0.321,7.6,16,0.472,4.4,5.9,0.746,2.5,9.6,12.1,5.2,2.3,1.2,3.5,4,24,,103,98,96.5,99.395,94.57,32.44,65.23,64.83,61.69,3.15,6088993,3106.76,215561.26,-1401148.18,5304,74256.01,Paul Millsap
280,Nikola Mirotic\mirotni01,Joakim Noah,PF,25,CHI,16,1,368,6.9,17.1,0.4,3.4,10.7,0.321,3.4,6.4,0.532,4,5.6,0.707,1.4,10.7,12.1,2.5,1.1,1.5,2.7,2.7,21.1,,106,103,98.4,104.304,101.352,23.00,47.15,49.18,47.79,1.39,17000000,3666.16,314166.76,6974502.04,8578.64,207317.07,Nikola Mirotic
281,Greg Monroe\monrogr01,Lucas Nogueira,C,26,MIL,14,0,247,8.7,18.6,0.467,0,0,,8.7,18.6,0.467,6.9,7.7,0.895,5.7,13.1,18.8,6.1,3.2,1.4,3.4,4.7,24.3,,114,98,94.8,108.072,92.904,17.64,34.84,37.66,32.37,5.29,1921320,405.39,48381.98,106229.99,1115.75,23430.73,Greg Monroe
282,E'Twaun Moore\mooreet01,Steve Novak,SG,27,NOP,17,17,471,8.3,18.1,0.457,1.9,5.1,0.367,6.4,13,0.492,1.7,2.2,0.762,0.8,3.1,3.9,5.3,1.6,0.6,2.3,3.6,20.1,,102,109,98.6,100.572,107.474,27.71,56.91,57.24,61.17,-3.93,1551659,#DIV/0!,168003.7,-168003.7,4730.67,18922.67,E'Twaun Moore
283,Marcus Morris\morrima03,Dirk Nowitzki,SF,27,DET,18,18,567,8.9,21.1,0.423,2,6.7,0.297,6.9,14.4,0.481,2.2,2.7,0.8,1.5,5,6.5,3.5,1.4,0.5,1.5,3.3,22,,102,106,95.1,97.002,100.806,31.50,62.41,60.54,62.91,-2.37,25000000,6646.1,479582.55,-3996521.27,11019.69,304878.05,Marcus Morris
284,Markieff Morris\morrima02,Jusuf Nurkic,PF,27,WAS,16,16,493,7.4,18.6,0.397,1.4,4,0.359,6,14.7,0.407,4.1,5,0.816,2.1,7.1,9.2,2.3,2,1,3.5,4.7,20.3,,94,106,101.4,95.316,107.484,30.81,65.09,62.04,69.96,-7.92,1921320,411.3,35791.83,584599.97,916.29,23430.73,Markieff Morris
