Rk,Player,PlayerName,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Blank,ORtg,DRtg,TeamPace,AdjORtg,AdjDRtg,avgMin,IndPos,Ortg/Min,DRtg/Min,Diff,Salary,Dollar/OffCont,Dollar/DefCont,Dollar/ContDiff,Dollar/Minute,Dollar/game,
315,Chandler Parsons\parsoch01,Andre Roberson,SF,28,MEM,6,6,126,7.4,18.9,0.391,2.1,8.6,0.238,5.3,10.3,0.52,2.1,2.5,0.833,0.8,6.6,7.4,2.1,0.8,0.8,3.3,2.1,18.9,,87,106,103.7,90.219,109.922,21.00,45.37,40.93,49.87,-8.94,2183072,440.01,36464.39,3427652.2,936.48,26622.83,Chandler Parsons
316,Patrick Patterson\pattepa01,Brian Roberts,PF,27,TOR,17,0,501,3.9,11.5,0.342,2.3,7.6,0.303,1.6,3.8,0.421,1.6,2,0.8,1.6,7.4,9.1,3.3,1.9,0.8,0.9,4.4,11.8,,109,109,96.7,105.403,105.403,29.47,59.37,62.58,62.58,0.00,1050961,1749.74,134869.86,-2247830.96,3204.15,12816.6,Patrick Patterson
317,Chris Paul\paulch01,Glenn Robinson,PG,31,LAC,18,18,554,8.7,19.4,0.451,3.3,8.3,0.402,5.4,11.1,0.488,7.6,8.5,0.894,0.9,7,7.9,14,4.6,0.4,3.7,3.6,28.4,,126,96,100.4,126.504,96.384,30.78,64.38,81.44,62.05,19.39,1050500,564.33,37824.59,-207134.64,1114,12810.98,Chris Paul
318,Adreian Payne\paynead01,Thomas Robinson,PF,25,MIN,7,0,66,11.4,21.3,0.536,1.5,6.1,0.25,9.9,15.2,0.65,8.4,9.9,0.846,3.8,6.9,10.7,2.3,3,3,3.8,11.4,32.7,,119,103,101.3,120.547,104.339,9.43,19.90,23.99,20.76,3.23,1050961,6481.17,178762.43,-269368.05,5126.64,12816.6,Adreian Payne
319,Elfrid Payton\paytoel01,Sergio Rodriguez,PG,22,ORL,17,16,506,7.8,18,0.43,0.8,4.1,0.195,6.9,13.9,0.5,2.5,4,0.625,1.2,5.8,7,9.3,2,1.1,3.4,3.3,18.8,,99,104,98.6,97.614,102.544,29.76,61.14,59.68,62.70,-3.01,8000000,1709.11,122146.81,-951000.2,3288.57,97560.98,Elfrid Payton
320,Paul Pierce\piercpa01,Rajon Rondo,SF,39,LAC,2,0,17,11.7,17.6,0.667,8.8,14.7,0.6,2.9,2.9,1,0,0,,0,0,0,2.9,0,0,0,8.8,32.3,,173,111,96.3,166.599,106.893,8.50,17.05,28.41,18.23,10.18,14000000,3395.85,243983.38,-1970635.02,6035.97,170731.71,Paul Pierce
321,Marshall Plumlee\plumlma02,Derrick Rose,C,24,NYK,1,0,5,0,0,,0,0,,0,0,,0,0,,0,10,10,0,0,0,0,10,0,,,113,98.4,0,111.192,5.00,10.25,0.00,11.40,-11.40,21323250,3945.86,276142.03,-1884263.25,7879.99,260039.63,Marshall Plumlee
322,Mason Plumlee\plumlma01,Terrence Ross,C,26,POR,19,19,516,7.3,13.3,0.553,0,0.1,0,7.3,13.2,0.557,2.7,5.5,0.5,3.6,8.9,12.5,8.5,1.3,1.6,2.9,4.6,17.4,,116,111,94.8,109.968,105.228,27.16,53.64,58.98,56.44,2.54,10000000,3291.84,311672.31,2015480.91,6902.9,121951.22,Mason Plumlee
323,Miles Plumlee\plumlmi01,Terry Rozier,C,28,MIL,15,9,193,4.4,9.1,0.486,0,0,,4.4,9.1,0.486,3.6,5.2,0.7,4.4,5.4,9.8,3.9,2.3,1.3,3.6,9.1,12.4,,103,105,97,99.91,101.85,12.87,26.00,25.98,26.48,-0.50,1906440,558.02,43369.9,-831256.49,1192.27,23249.27,Miles Plumlee
324,Jakob Poeltl\poeltja01,Ricky Rubio,C,21,TOR,9,2,135,4.5,9.7,0.462,0,0,,4.5,9.7,0.462,3,4.5,0.667,7.1,7.1,14.2,0.7,1.5,1.5,1.5,10.8,11.9,,119,109,93.5,111.265,101.915,15.00,29.22,32.51,29.78,2.73,13550000,2926.72,220175.56,-2666570.73,5330.45,165243.9,Jakob Poeltl
325,Otto Porter\porteot01,Damjan Rudez,SF,23,WAS,16,16,548,8.8,16.8,0.522,2.1,5.5,0.383,6.7,11.3,0.589,1.9,2.5,0.778,3.6,8.2,11.9,2.3,2.6,0.8,1,4.1,21.5,,127,105,95.8,121.666,100.59,34.25,68.36,83.17,68.76,14.41,980431,3474.09,49784.03,-60326.53,1195.65,11956.48,Otto Porter
326,Bobby Portis\portibo01,Brandon Rush,PF,21,CHI,15,0,171,8.3,16.2,0.509,0.9,2.1,0.429,7.4,14.2,0.521,2.1,3.2,0.636,5.9,8,13.9,3.2,0.3,0.6,1.8,6.5,19.5,,120,107,93.5,112.2,100.045,11.40,22.21,24.92,22.22,2.70,3500000,2141.39,114934.33,-332704.65,2808.09,42682.93,Bobby Portis
327,Kristaps Porzingis\porzikr01,D'Angelo Russell,PF,21,NYK,17,17,571,11.5,23.5,0.487,3.4,8.4,0.406,8,15.1,0.532,4.8,6.1,0.786,2.6,8,10.6,1.7,1.1,2.2,2,5.5,31.1,,118,109,101.3,119.534,110.417,33.59,70.89,84.73,78.27,6.46,5332800,1105.29,83981.7,-1144250.6,2386.57,65034.15,Kristaps Porzingis
328,Dwight Powell\poweldw01,Domantas Sabonis,PF,25,DAL,16,1,309,5.9,14,0.422,0.2,1,0.167,5.7,12.9,0.442,2.9,4,0.708,3.2,8.7,11.9,1.8,4.2,1.8,1.3,4.5,14.8,,101,99,103.7,104.737,102.663,19.31,41.72,43.70,42.83,0.87,2440200,613.69,57137.49,421938.38,1498.63,29758.54,Dwight Powell
329,Norman Powell\powelno01,Dario Saric,SG,23,TOR,13,3,194,6.5,14.3,0.455,2.9,6.5,0.44,3.6,7.8,0.467,5.5,6.5,0.84,0.3,6,6.2,4.4,1.6,0.5,2.1,6.8,21.3,,123,110,98.6,121.278,108.46,14.92,30.65,37.18,33.25,3.93,2318280,692.73,40279.14,-138459.54,1094.39,28271.71,Norman Powell
330,Tim Quarterman\quartti01,Tomas Satoransky,SG,22,POR,6,0,19,12.8,12.8,1,2.6,2.6,1,10.2,10.2,1,0,0,,5.1,2.6,7.7,7.7,0,5.1,0,2.6,28.1,,222,114,96.5,214.23,110.01,3.17,6.37,13.64,7.00,6.63,2870813,1499.45,96369.96,-445711.08,2530.84,35009.91,Tim Quarterman
331,Julius Randle\randlju01,Dennis Schroder,PF,22,LAL,15,15,415,9,17,0.531,0.3,1.4,0.25,8.7,15.6,0.556,4.7,6.4,0.745,2.4,11.6,14,6.7,1.3,1,5.1,5.4,23.2,,107,109,99.7,106.679,108.673,27.67,57.47,61.30,62.45,-1.15,2708582,476.73,41722.96,619884.04,1095.83,33031.49,Julius Randle
332,Zach Randolph\randoza01,Luis Scola,PF,35,MEM,15,0,334,14.1,29.4,0.479,0.6,2.3,0.267,13.5,27.1,0.497,4.2,5.6,0.75,4.2,14.1,18.3,2.3,1.1,0.3,3.1,4.8,33,,102,102,100.6,102.612,102.612,22.27,46.67,47.89,47.89,0.00,5000000,1531.21,133850.99,2026886.45,3648.11,60975.61,Zach Randolph
333,J.J. Redick\redicjj01,Thabo Sefolosha,SG,32,LAC,18,18,471,9.6,19.8,0.487,4.4,9.5,0.467,5.2,10.3,0.505,4.9,5.3,0.92,0.2,3.5,3.7,2,1.7,0.3,3.3,2.3,28.6,,113,105,99.7,112.661,104.685,26.17,54.35,61.23,56.90,4.33,3850000,811.8,82314.78,347967.02,1933.29,46951.22,J.J. Redick
334,Willie Reed\reedwi02,Kevin Seraphin,PF,26,MIA,10,0,125,6.9,10.6,0.654,0,0,,6.9,10.6,0.654,2.5,4.9,0.5,6.1,5.7,11.9,1.6,0.4,1.2,1.6,5.3,16.4,,128,108,100.4,128.512,108.432,12.50,26.15,33.60,28.35,5.25,1800000,1571.85,126482.43,-6766809.88,3465.98,21951.22,Willie Reed
335,Josh Richardson\richajo01,Ramon Sessions,SG,23,MIA,13,9,365,7.6,19.2,0.394,3.5,9.7,0.362,4.1,9.5,0.426,1.3,1.8,0.692,1.1,4.5,5.6,3.2,1.5,1,2.2,4.8,19.9,,99,106,96.7,95.733,102.502,28.08,56.56,54.15,57.98,-3.83,6000000,2118.05,161760.54,-2357082.2,3919.86,73170.73,Josh Richardson
336,Malachi Richardson\richama01,Iman Shumpert,SG,21,SAC,2,0,8,6.3,25.3,0.25,6.3,19,0.333,0,6.3,0,0,0,,0,0,0,0,0,0,0,6.3,19,,79,118,96.2,75.998,113.516,4.00,8.02,6.09,9.10,-3.01,9700000,2335.17,222783.97,1362913.7,5447.69,118292.68,Malachi Richardson
337,Austin Rivers\riverau01,Pascal Siakam,SG,24,LAC,18,0,401,6.6,15.8,0.417,1.7,5.2,0.333,4.8,10.6,0.459,2,3.4,0.593,0.1,3.4,3.5,4.2,1.6,0.5,2.4,4.7,16.9,,95,105,94.8,90.06,99.54,22.28,44.00,39.63,43.80,-4.17,1196040,382.82,33829.19,435550.83,795.59,14585.85,Austin Rivers
338,Andre Roberson\roberan03,Jonathon Simmons,SF,25,OKC,19,19,570,4.6,10.2,0.45,1.3,4.3,0.3,3.3,6,0.557,0.5,2.1,0.24,1.7,5.6,7.3,1.9,2,1.6,0.9,4.1,11,,105,104,93.9,98.595,97.656,30.00,58.69,57.86,57.31,0.55,874636,266.15,18941.81,-143416.57,449.78,10666.29,Andre Roberson
339,Brian Roberts\roberbr01,Kyle Singler,PG,31,CHO,4,0,17,2.9,20.3,0.143,0,5.8,0,2.9,14.5,0.2,2.9,5.8,0.5,2.9,5.8,8.7,2.9,0,0,0,0,8.7,,57,110,103.7,59.109,114.07,4.25,9.18,5.43,10.47,-5.05,4837500,2171.75,132240,-513701.54,3649.11,58993.9,Brian Roberts
340,Glenn Robinson\robingl02,Marcus Smart,SF,23,IND,16,4,302,6.5,14.8,0.44,1.8,5.2,0.344,4.7,9.6,0.492,2.1,3.1,0.684,1.8,6.3,8.1,1.6,1.1,0.6,1.5,2.6,16.9,,104,108,97,100.88,104.76,18.88,38.14,38.48,39.96,-1.48,3578880,798.43,52600.55,-267576.71,1471.18,43644.88,Glenn Robinson
341,Thomas Robinson\robinth01,Ish Smith,PF,25,LAL,9,1,65,6.7,20.7,0.321,0,0,,6.7,20.7,0.321,0.7,3,0.25,8.1,10.3,18.5,1.5,1.5,1.5,2.2,7.4,14,,82,108,95.6,78.392,103.248,7.22,14.38,11.28,14.85,-3.58,6000000,1525.84,103463.59,-597789.63,2498.51,73170.73,Thomas Robinson
342,Sergio Rodriguez\rodrise01,J.R. Smith,PG,30,PHI,18,17,486,5.8,15.3,0.377,2,6.7,0.303,3.8,8.6,0.435,0.5,0.6,0.833,0.7,4.9,5.6,12.4,1.7,0.3,4.9,2.1,14.1,,93,111,96.2,89.466,106.782,27.00,54.11,48.41,57.78,-9.37,12800000,2465.81,196527.37,-7009476.35,4944.27,156097.56,Sergio Rodriguez
343,Rajon Rondo\rondora01,Jason Smith,PG,30,CHI,14,14,424,5.4,14.6,0.366,0.7,2.6,0.273,4.6,12,0.386,1.4,2.3,0.632,1.7,9.4,11.1,12.3,2.1,0.5,4.2,3.5,12.9,,95,103,96.5,91.675,99.395,30.29,60.89,55.82,60.52,-4.70,5000000,6162.72,243136.83,-468590.98,6097.56,60975.61,Rajon Rondo
344,Derrick Rose\rosede01,Tony Snell,PG,28,NYK,17,17,554,10.1,23.1,0.438,0.6,2.4,0.259,9.5,20.6,0.459,4.9,5.5,0.885,2.2,4.5,6.7,7.6,1.1,0.8,4.1,2.6,25.7,,103,113,98.6,101.558,111.418,32.59,66.94,67.98,74.59,-6.60,2368327,599.15,38667.61,-181569.63,1031.5,28882.04,Derrick Rose
345,Terrence Ross\rosste01,Marreese Speights,SF,25,TOR,16,0,325,10.1,19.9,0.508,4,9,0.448,6,10.9,0.557,2.8,2.9,0.947,0.8,4.7,5.4,1.6,2.8,0.3,1.4,3.6,27,,125,109,99.8,124.75,108.782,20.31,42.23,52.69,45.94,6.74,1403611,422.94,44903.31,152350.52,1079.46,17117.21,Terrence Ross
346,Terry Rozier\roziete01,Nik Stauskas,PG,22,BOS,17,0,326,6.1,13.8,0.444,2.6,6.3,0.415,3.5,7.5,0.469,2.3,3.2,0.714,1.1,8.3,9.3,4.1,1.8,0.5,1.7,2.8,17.1,,112,107,98.6,110.432,105.502,19.18,39.39,43.50,41.56,1.94,2993040,784.96,54596.54,-359694.88,1510.37,36500.49,Terry Rozier
347,Ricky Rubio\rubiori01,Lance Stephenson,PG,26,MIN,12,12,353,3.3,8.8,0.371,1,3.7,0.269,2.3,5.1,0.444,3.6,4.8,0.735,2.3,4.1,6.4,11,2.6,0,3.6,4.7,11.1,,110,110,101.5,111.65,111.65,29.42,62.20,69.45,69.45,0.00,1227286,266.26,19079.55,-151273.6,554.33,14966.9,Ricky Rubio
348,Damjan Rudez\rudezda01,Jarnell Stokes,SF,30,ORL,9,0,93,3.3,8.8,0.375,2.7,7.1,0.385,0.5,1.6,0.333,0,0,,1.6,3.3,4.9,1.1,2.7,0,2.7,3.3,9.3,,87,106,101.4,88.218,107.484,10.33,21.83,19.26,23.46,-4.21,980431,4537.99,419909.66,3269296.63,11956.48,11956.48,Damjan Rudez
349,Brandon Rush\rushbr01,Diamond Stone,SG,31,MIN,9,0,96,2.6,11.5,0.227,1.6,6.8,0.231,1,4.7,0.222,0.5,1,0.5,0,4.7,4.7,3.1,1,1,2.1,2.1,7.3,,67,111,99.8,66.866,110.778,10.67,22.18,14.83,24.57,-9.74,543471,#DIV/0!,90004.36,-90004.36,2209.23,6627.7,Brandon Rush
350,D'Angelo Russell\russeda01,Rodney Stuckey,PG,20,LAL,13,13,348,10.2,24.7,0.413,4.4,11.9,0.372,5.8,12.8,0.452,4,5.2,0.763,1,5.1,6.1,8.7,2.3,0.6,5.4,4.1,28.9,,102,111,100.4,102.408,111.444,26.77,55.99,57.34,62.40,-5.06,7000000,3767.36,219150.59,-754135.84,6566.6,85365.85,D'Angelo Russell
351,Domantas Sabonis\sabondo01,Walter Tavares,PF,20,OKC,19,19,414,6.1,13.7,0.444,2.6,5.8,0.449,3.5,8,0.441,0.1,0.2,0.5,0.9,6.3,7.3,3.2,1.3,0.6,2.7,6.2,14.9,,99,106,99.7,98.703,105.682,21.79,45.26,44.67,47.83,-3.16,1000000,1962.98,119527.97,-464320.2,3048.78,12195.12,Domantas Sabonis
352,Dario Saric\saricda01,Jeff Teague,PF,22,PHI,18,10,452,6.8,18.2,0.371,2.4,6.3,0.379,4.4,11.9,0.367,2,2.8,0.692,1.6,10,11.7,4,0.9,0.5,4,4,17.9,,86,109,100.4,86.344,109.436,25.11,52.52,45.35,57.48,-12.13,8800000,1948.35,128382.65,-653584.4,3682.45,107317.07,Dario Saric
353,Tomas Satoransky\satorto01,Mirza Teletovic,SG,25,WAS,16,2,283,4.8,11.7,0.409,0.4,2.8,0.125,4.4,8.8,0.5,1.9,3,0.647,1.4,4.1,5.5,7.2,1.8,0,3,4.9,11.8,,96,110,98.6,94.656,108.46,17.69,36.33,34.39,39.41,-5.02,10500000,2815.19,249563.16,3077945.61,6842.3,128048.78,Tomas Satoransky
354,Dennis Schroder\schrode01,Garrett Temple,PG,23,ATL,18,18,531,9,21.9,0.413,2.1,6.4,0.329,6.9,15.5,0.447,3.8,5,0.764,0.7,4.3,5,9,1.3,0.3,5.2,2.1,24,,96,105,94,90.24,98.7,29.50,57.77,52.13,57.02,-4.89,8000000,2379.21,198642.56,10925340.97,4905.3,97560.98,Dennis Schroder
355,Luis Scola\scolalu01,Jason Terry,PF,36,BRK,15,0,219,6.5,14.2,0.455,1.1,4.9,0.217,5.4,9.3,0.581,2.6,4.1,0.632,4.9,9,14,3.7,1.9,0.2,4.3,6.5,16.6,,98,110,98.6,96.628,108.46,14.60,29.99,28.98,32.53,-3.55,1551659,486.6,34200.75,-239405.27,946.13,18922.67,Luis Scola
356,Thabo Sefolosha\sefolth01,Isaiah Thomas,SF,32,ATL,15,2,364,6.1,12.2,0.5,0.8,3.2,0.25,5.3,9.1,0.588,1.9,2.7,0.7,2,7.3,9.3,3.7,4,0.4,2.3,2.3,14.9,,108,97,97,104.76,94.09,24.27,49.04,51.37,46.14,5.23,6587132,1016.47,84787.83,4917694.31,2351.15,80330.88,Thabo Sefolosha
357,Kevin Seraphin\serapke01,Lance Thomas,PF,27,IND,11,0,106,10.2,20.3,0.5,0,0,,10.2,20.3,0.5,0.9,1.8,0.5,7.4,10.2,17.6,2.8,1.4,1.8,2.3,5.5,21.3,,107,103,98.4,105.288,101.352,9.64,19.75,20.80,20.02,0.78,6191000,2470.5,130979.25,-370575.43,3737.62,75500,Kevin Seraphin
358,Ramon Sessions\sessira01,Hollis Thompson,PG,30,CHO,17,0,291,5.3,14.7,0.356,0.8,3.6,0.238,4.4,11.2,0.394,3.9,6.4,0.605,0.7,3.6,4.2,9.8,1.9,0.3,2.7,2.5,15.2,,97,106,98.6,95.642,104.516,17.12,35.16,33.63,36.75,-3.12,1015696,285.77,23216.53,-2507385.75,619.33,12386.54,Ramon Sessions
359,Iman Shumpert\shumpim01,Klay Thompson,SG,26,CLE,14,1,312,4.9,10.3,0.477,2.7,5.9,0.459,2.2,4.4,0.5,2.5,3,0.842,1.4,4.1,5.5,4.6,2.4,0.8,3.3,5.1,15,,114,106,103.6,118.104,109.816,22.29,48.10,56.81,52.82,3.99,16663575,2696.33,185565.06,-1154627.03,5667.33,203214.33,Iman Shumpert
360,Pascal Siakam\siakapa01,Tristan Thompson,PF,22,TOR,17,17,325,6.8,12.4,0.55,0,0,,6.8,12.4,0.55,1.2,1.9,0.667,3.6,6.8,10.4,0.8,1.6,1.6,1.6,6.5,14.9,,114,109,96.2,109.668,104.858,19.12,38.31,42.02,40.18,1.84,15330435,2300.8,265199.41,653747.39,6609.57,186956.52,Pascal Siakam
361,Jonathon Simmons\simmojo02,Marcus Thornton,SG,27,SAS,17,1,322,5.6,12.8,0.438,0.6,3,0.211,4.9,9.7,0.508,4,5.4,0.735,1,5.1,6.1,5.7,1.8,1,2.4,4.8,15.8,,106,107,96.5,102.29,103.255,18.94,38.08,38.95,39.32,-0.37,1315448,486.4,34986.99,-284894.02,943.65,16042.05,Jonathon Simmons
362,Kyle Singler\singlky01,Anthony Tolliver,SF,28,OKC,10,0,120,3.2,11.3,0.286,0.8,6.5,0.125,2.4,4.9,0.5,1.2,1.6,0.75,0.4,5.7,6.1,0.4,0.4,0.8,2,4.9,8.5,,68,109,94,63.92,102.46,12.00,23.50,15.02,24.08,-9.06,8000000,3808.44,268461.69,-1912789.55,6870.49,97560.98,Kyle Singler
363,Marcus Smart\smartma01,Karl-Anthony Towns,PG,22,BOS,14,5,442,5.9,16.4,0.359,2.3,7.7,0.294,3.6,8.7,0.416,1.8,3.3,0.552,1.6,5.5,7.1,6.8,2.1,0.7,3,3.5,15.8,,93,107,93.5,86.955,100.045,31.57,61.50,53.48,61.53,-8.05,5960160,962.11,89952.5,641661.17,2137.79,72684.88,Marcus Smart
364,Ish Smith\smithis01,P.J. Tucker,PG,28,DET,18,18,532,7.4,18.5,0.399,0.6,1.7,0.333,6.8,16.8,0.406,2.2,2.8,0.793,0.5,4.2,4.7,10.7,1.9,0.6,2.9,2.9,17.6,,97,105,102.3,99.231,107.415,29.56,62.99,62.51,67.66,-5.16,5300000,1669.2,127572.45,-1877137.44,3493.74,64634.15,Ish Smith
365,J.R. Smith\smithjr01,Evan Turner,SG,31,CLE,12,12,372,4.5,14.9,0.304,4,12.1,0.33,0.5,2.8,0.19,0.8,0.8,1,0.8,3.2,4,2.1,2.5,0.8,0.9,3.7,13.8,,98,106,101.1,99.078,107.166,31.00,65.29,64.69,69.97,-5.28,16393443,4688.67,290100.91,-1181892.6,8286.84,199920.04,J.R. Smith
366,Jason Smith\smithja02,Myles Turner,C,30,WAS,15,0,178,4.8,12.4,0.386,0,0.3,0,4.8,12.1,0.395,0.6,0.6,1,2.8,7.6,10.4,1.1,0.8,2,4.2,8.7,10.1,,72,107,100.4,72.288,107.428,11.87,24.82,17.94,26.66,-8.72,2463840,439.27,40396.8,332496.75,1106.99,30046.83,Jason Smith
367,Tony Snell\snellto01,Beno Udrih,SF,25,MIL,14,14,413,5.9,14,0.422,2.8,9.4,0.295,3.1,4.6,0.684,0.5,0.7,0.667,1.1,6,7.1,1.8,0.8,0.1,1.5,2.9,15.1,,102,110,95.6,97.512,105.16,29.50,58.75,57.29,61.79,-4.49,1551659,544.73,41718.07,-631730.76,1026.81,18922.67,Tony Snell
368,Marreese Speights\speigma01,Tyler Ulis,C,29,LAC,18,0,282,9,22.1,0.408,3,9.9,0.304,6,12.2,0.493,6.7,8.3,0.809,3.7,11.1,14.9,2.1,1.1,1.8,1.8,8.3,27.8,,112,100,102.3,114.576,102.3,15.67,33.39,38.26,34.16,4.10,918369,671.48,47649.12,-353964.92,1317.6,11199.62,Marreese Speights
369,Nik Stauskas\stausni01,Jonas Valanciunas,SG,23,PHI,18,0,456,7,13.7,0.512,3.5,7.7,0.451,3.6,6.1,0.589,2.5,3.1,0.793,0.4,4.9,5.3,2.9,0.9,0.8,3.2,2.9,20,,109,112,94.8,103.332,106.176,25.33,50.03,51.70,53.12,-1.42,14382022,2582.75,242930.84,1651929.69,5657.76,175390.51,Nik Stauskas
370,Lance Stephenson\stephla01,Denzel Valentine,SG,26,NOP,6,0,162,7.8,16.5,0.473,0.3,3,0.1,7.5,13.5,0.556,1.5,2.4,0.625,0.9,4.5,5.4,8.7,0.6,0.3,3.3,5.4,17.4,,98,111,96.3,94.374,106.893,27.00,54.17,51.12,57.90,-6.78,2092200,2554.39,178993.18,-1230578.12,4639.02,25514.63,Lance Stephenson
371,Jarnell Stokes\stokeja01,Anderson Varejao,PF,23,DEN,2,0,7,6.9,6.9,1,0,0,,6.9,6.9,1,6.9,13.8,0.5,6.9,6.9,13.8,13.8,6.9,0,0,20.7,20.7,,181,96,103.6,187.516,99.456,3.50,7.55,14.17,7.51,6.65,1984005,5009.53,221821.94,-482221.61,6048.8,24195.18,Jarnell Stokes
372,Diamond Stone\stonedi01,Greivis Vasquez,C,19,LAC,3,0,14,7.1,24.9,0.286,0,0,,7.1,24.9,0.286,7.1,7.1,1,3.6,7.1,10.7,0,0,3.6,3.6,14.2,21.4,,78,102,100.6,78.468,102.612,4.67,9.78,7.67,10.04,-2.36,4347826,2080.07,144205.36,-933093.49,4078.64,53022.27,Diamond Stone
373,Rodney Stuckey\stuckro01,Rashad Vaughn,PG,30,IND,8,0,149,8.2,18.7,0.439,1.3,4.3,0.308,6.9,14.5,0.477,4.9,8.5,0.577,0.7,5.6,6.2,3.6,1.3,0,5.3,3.9,22.7,,87,109,98.6,85.782,107.474,18.63,38.26,32.82,41.12,-8.30,1811040,589.43,51586.18,766423.23,1325.15,22085.85,Rodney Stuckey
374,Walter Tavares\tavarwa01,Noah Vonleh,C,24,ATL,1,0,4,12.1,12.1,1,0,0,,12.1,12.1,1,0,24.2,0,0,12.1,12.1,0,0,0,0,0,24.2,,78,103,101.1,78.858,104.133,4.00,8.43,6.64,8.77,-2.13,2751360,1531.29,115004.09,-1367270.79,3195.54,33553.17,Walter Tavares
375,Jeff Teague\teaguje01,Nikola Vucevic,PG,28,IND,18,18,566,7.7,18.7,0.412,1.4,5.4,0.258,6.3,13.3,0.474,5.9,6.8,0.861,0.8,5.3,6.1,10.6,3.3,1,4.2,3.7,22.7,,105,103,95.8,100.59,98.674,31.44,62.76,63.13,61.93,1.20,11750000,2501.45,211036.08,7315917.51,5117.6,143292.68,Jeff Teague
376,Mirza Teletovic\teletmi01,Sasha Vujacic,PF,31,MIL,15,1,237,7.2,18.1,0.395,5.7,14.5,0.391,1.5,3.6,0.412,1.5,2.1,0.7,1.1,5.5,6.5,1.9,0.4,0.6,1.5,5.5,21.5,,109,111,98.4,107.256,109.224,15.80,32.39,34.74,35.38,-0.64,1410598,2679.61,126912.01,-300444.75,3621.56,17202.41,Mirza Teletovic
377,Garrett Temple\templga01,Dwyane Wade,SG,30,SAC,18,0,382,4.9,11.7,0.42,2.3,6.2,0.362,2.7,5.4,0.488,1.3,1.6,0.833,1.1,4.8,5.8,4.2,2.4,0.9,2,3.2,13.4,,106,109,96.3,102.078,104.967,21.22,42.58,43.46,44.69,-1.23,23200000,4564.46,406367.68,4740956.3,10053.24,282926.83,Garrett Temple
378,Jason Terry\terryja01,Dion Waiters,SG,39,MIL,10,0,182,3,8.5,0.355,1.6,5.2,0.316,1.4,3.3,0.417,1.1,1.4,0.8,0.3,3.6,3.8,3.8,1.4,0.5,0.8,2.7,8.8,,106,110,95.6,101.336,105.16,18.20,36.25,36.73,38.12,-1.39,2898000,745.54,45262.65,-174345.04,1093.03,35341.46,Jason Terry
379,Isaiah Thomas\thomais02,Kemba Walker,PG,27,BOS,17,17,565,11.8,28,0.423,3.4,10.3,0.325,8.5,17.6,0.48,12,13.6,0.883,0.8,3.3,4.1,9.6,1.1,0.3,3.5,3.6,39,,118,112,96.7,114.106,108.304,33.24,66.96,76.40,72.52,3.88,12000000,1972.69,194439.44,962475.23,4573.17,146341.46,Isaiah Thomas
380,Lance Thomas\thomala01,John Wall,PF,28,NYK,8,0,140,5,13.2,0.378,1.1,2.9,0.375,3.9,10.3,0.379,0,0,,1.1,5.7,6.8,1.1,1.8,0.4,1.8,4.3,11.1,,83,111,96.5,80.095,107.115,17.50,35.18,28.18,37.69,-9.51,16957900,3008.49,241997.53,-12704870.49,6011.73,206803.66,Lance Thomas
381,Hollis Thompson\thompho01,Taurean Waller-Prince,SG,25,PHI,18,1,351,6.9,15,0.458,2.7,6.6,0.404,4.2,8.4,0.5,1.5,2.2,0.688,1.7,6.5,8.2,2.4,1.5,0.6,0.8,5.3,18,,114,110,99.7,113.658,109.67,19.50,40.50,46.04,44.42,1.62,2318280,2786.17,230820.87,22389624.24,5654.34,28271.71,Hollis Thompson
382,Klay Thompson\thompkl01,T.J. Warren,SG,26,GSW,18,18,604,11.3,23.7,0.477,4,10.8,0.365,7.4,12.9,0.571,2.8,3.2,0.9,0.6,4.1,4.7,2.9,0.9,0.4,2.9,3.3,29.4,,106,110,102.3,108.438,112.53,33.56,71.52,77.55,80.48,-2.93,2128920,294.31,25027.51,675742.86,718.68,25962.44,Klay Thompson
383,Tristan Thompson\thomptr01,C.J. Watson,C,25,CLE,15,15,430,4.7,7.5,0.631,0,0.1,0,4.7,7.3,0.641,2,4.2,0.459,5.6,11.9,17.6,1.6,0.6,2.6,0.6,3.9,11.4,,140,103,95.8,134.12,98.674,28.67,57.21,76.74,56.46,20.28,5000000,4008.41,235208.79,-827024.47,5978,60975.61,Tristan Thompson
384,Marcus Thornton\thornma01,David West,SG,29,WAS,15,1,300,6.5,18.5,0.351,2.5,7.3,0.341,4,11.2,0.358,2.5,2.7,0.938,1.8,3.8,5.7,3.7,1.7,0,2.2,3.2,18,,97,111,103.6,100.492,114.996,20.00,43.17,43.38,49.64,-6.26,1551659,1006.08,73688.35,-689990.95,2069.67,18922.67,Marcus Thornton
385,Anthony Tolliver\tollian01,Russell Westbrook,PF,31,SAC,8,0,96,3.7,10,0.368,1.6,7.4,0.214,2.1,2.6,0.8,2.6,2.6,1,3.2,5.3,8.4,2.6,0.5,0,2.1,4.8,11.6,,106,114,103.7,109.922,118.218,12.00,25.93,28.50,30.65,-2.15,26540100,3999.04,376246.73,2553102.78,9765.6,323659.76,Anthony Tolliver
