Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,TeamPace,AdjORtg,AdjDRtg,avgMin,IndPos,Ortg/Min,DRtg/Min,Diff,Salary,$/OffCont,$/DefCont,$/ContDiff,$/Minute,$/game
1,Alex Abrines\abrinal01,SG,23,OKC,3,0,23,8.1,10.1,0.8,6,6,1,2,4,0.5,6,6,1,0,2,2,0,2,0,8.1,6,28.2,116,94,103.7,120.292,97.478,7.67,16.56,19.92,16.15,3.78," $5,994,764.00 "," $3,669.25 "," $371,296.95 "," $1,586,450.60 "," $9,535.68 "," $73,106.88 "
2,Quincy Acy\acyqu01,PF,26,DAL,3,0,11,4.6,27.5,0.167,4.6,18.4,0.25,0,9.2,0,0,0,,0,9.2,9.2,0,0,0,0,9.2,13.8,53,112,95.1,50.403,106.512,3.67,7.26,3.66,7.74,-4.08," $1,050,961.00 "," $3,500.30 "," $135,824.26 "," $(257,835.89)"," $3,495.44 "," $12,816.60 "
3,Steven Adams\adamsst01,C,23,OKC,4,4,136,5.8,13.3,0.436,0,0,,5.8,13.3,0.436,2.4,2.4,1,4.4,8.5,12.9,1.4,2.7,0.7,4.4,4.4,14,88,89,103.7,91.256,92.293,34.00,73.45,67.03,67.79,-0.76," $3,140,517.00 ", $571.36 ," $46,325.06 "," $(4,122,929.95)"," $1,126.44 "," $38,298.99 "
4,Arron Afflalo\afflaar01,SG,31,SAC,5,5,159,5.5,13.5,0.405,1.6,4.5,0.357,3.9,9,0.429,2.6,2.6,1,0,3.9,3.9,1.6,1.3,0.3,1,4.2,15.1,103,110,94,96.82,103.4,31.80,62.28,60.29,64.39,-4.10," $12,500,000.00 "," $2,528.23 "," $194,122.44 "," $(3,050,495.46)"," $4,793.68 "," $152,439.02 "
5,Alexis Ajinca\ajincal01,C,28,NOP,3,0,32,4.4,13.3,0.333,0,0,,4.4,13.3,0.333,0,0,,4.4,8.9,13.3,0,1.5,0,3,10.3,8.9,68,104,101.5,69.02,105.56,10.67,22.56,15.57,23.81,-8.24," $4,600,000.00 "," $3,603.43 "," $193,199.02 "," $(558,130.51)"," $5,259.15 "," $56,097.56 "
6,Cole Aldrich\aldrico01,C,28,MIN,3,0,32,4.8,8,0.6,0,0,,4.8,8,0.6,0,0,,3.2,14.4,17.6,1.6,1.6,1.6,1.6,12.8,9.6,117,97,93.5,109.395,90.695,10.67,20.78,22.73,18.84,3.89," $7,643,979.00 "," $4,101.18 "," $405,636.52 "," $1,967,337.10 "," $8,739.31 "," $93,219.26 "
7,LaMarcus Aldridge\aldrila01,PF,31,SAS,4,4,127,10.9,25,0.435,0.8,2,0.4,10.1,22.9,0.439,7.6,9.3,0.826,4.4,7.2,11.7,2,0.4,0.8,1.2,3.6,30.2,114,105,93.9,107.046,98.595,31.75,62.11,66.49,61.24,5.25," $20,575,005.00 "," $3,773.88 "," $335,982.74 "," $3,919,798.69 "," $7,902.83 "," $250,914.70 "
8,Lavoy Allen\allenla01,PF,27,IND,4,0,42,3.4,10.2,0.333,0,1.1,0,3.4,9.1,0.375,0,2.3,0,3.4,8,11.4,5.7,1.1,3.4,0,4.6,6.8,97,108,100.4,97.388,108.432,10.50,21.96,21.39,23.81,-2.43," $4,000,000.00 "," $2,280.65 "," $167,965.76 "," $(1,649,118.33)"," $4,645.76 "," $48,780.49 "
9,Tony Allen\allento01,SG,35,MEM,2,1,46,3.3,16.6,0.2,0,1.1,0,3.3,15.5,0.214,2.2,5.5,0.4,6.6,1.1,7.8,1.1,3.3,0,3.3,7.8,8.9,61,105,94.2,57.462,98.91,23.00,45.14,25.94,44.65,-18.71," $5,505,618.00 "," $2,588.65 "," $123,318.54 "," $(294,282.88)"," $2,919.20 "," $67,141.68 "
10,Al-Farouq Aminu\aminual01,SF,26,POR,5,5,138,3.1,12.7,0.243,1.7,8.3,0.208,1.4,4.5,0.308,2.1,3.8,0.545,1,12.4,13.4,2.8,3.1,2.1,2.8,3.1,10,70,102,101.1,70.77,103.122,27.60,58.13,41.14,59.95,-18.81," $7,680,965.00 "," $2,276.85 "," $128,128.42 "," $(408,409.33)"," $3,393.85 "," $93,670.30 "
11,Chris Andersen\anderch01,C,38,CLE,2,0,14,10.7,10.7,1,0,0,,10.7,10.7,1,7.1,14.2,0.5,3.6,3.6,7.1,3.6,3.6,3.6,0,7.1,28.5,174,99,96.2,167.388,95.238,7.00,14.03,23.48,13.36,10.12," $1,551,659.00 ", $805.80 ," $116,132.60 "," $153,295.03 "," $2,703.24 "," $18,922.67 "
12,Justin Anderson\anderju01,SF,23,DAL,4,0,77,6.6,17.1,0.385,2.6,8.5,0.308,3.9,8.5,0.462,3.3,4.6,0.714,4.6,7.9,12.5,2,3.3,1.3,3.3,3.9,19,98,104,95.1,93.198,98.904,19.25,38.14,35.54,37.72,-2.18," $1,514,160.00 ", $519.49 ," $40,140.97 "," $(695,776.87)", $959.24 ," $18,465.37 "
13,Kyle Anderson\anderky01,SG,23,SAS,5,4,110,2.8,7.4,0.375,1.4,2.3,0.6,1.4,5.1,0.273,0.9,0.9,1,0.9,8.8,9.8,2.3,1.9,1.4,1.9,2.3,7.9,95,101,93.9,89.205,94.839,22.00,43.04,38.39,40.82,-2.42," $1,192,080.00 ", $378.67 ," $29,205.95 "," $(491,633.56)", $660.80 ," $14,537.56 "
14,Ryan Anderson\anderry01,PF,28,HOU,5,5,151,7.9,18.9,0.421,3.6,8.6,0.423,4.3,10.3,0.419,0.7,0.7,1,4.6,6.9,11.6,0.7,0.7,0,2,3,20.2,108,115,96.1,103.788,110.515,30.20,60.46,62.75,66.82,-4.07," $18,735,364.00 "," $3,640.93 "," $280,383.09 "," $(4,606,293.58)"," $7,565.56 "," $228,480.05 "
15,Giannis Antetokounmpo\antetgi01,SG,22,MIL,4,4,143,12.9,25.2,0.514,1,4.1,0.25,11.9,21.1,0.565,4.8,5.8,0.824,2,10.9,12.9,7.8,1.4,2.7,2.7,4.1,31.7,114,105,98.6,112.404,103.53,35.75,73.44,82.55,76.03,6.52," $2,995,421.00 ", $442.54 ," $39,398.52 "," $459,649.43 "," $1,021.80 "," $36,529.52 "
16,Carmelo Anthony\anthoca01,SF,32,NYK,4,4,132,10.7,24.4,0.439,1.8,7,0.263,8.9,17.4,0.511,7.8,9.6,0.808,0.7,6.7,7.4,3.7,2.2,0,5.2,4.4,31,97,112,98.4,95.448,110.208,33.00,67.65,64.57,74.56,-9.99," $24,559,380.00 "," $4,638.41 "," $329,409.77 "," $(2,459,592.96)"," $9,075.90 "," $299,504.63 "
17,Trevor Ariza\arizatr01,SF,31,HOU,5,5,163,5.8,13.8,0.422,3.7,9.2,0.4,2.1,4.6,0.467,2.1,2.5,0.875,0.6,6.1,6.7,3.1,2.8,0.3,1.2,3.1,17.5,120,110,96.1,115.32,105.71,32.60,65.27,75.27,68.99,6.27," $7,806,971.00 "," $1,264.92 "," $113,153.17 "," $1,244,684.92 "," $2,920.46 "," $95,206.96 "
18,Omer Asik\asikom01,C,30,NOP,5,3,88,1.6,4.8,0.333,0,0,,1.6,4.8,0.333,1.6,3.2,0.5,2.7,12.9,15.6,2.7,0,1.1,2.2,3.2,4.8,83,104,101.5,84.245,105.56,17.60,37.22,31.35,39.29,-7.93," $9,904,494.00 "," $3,852.45 "," $252,113.12 "," $(1,248,560.19)"," $6,862.87 "," $120,786.51 "
19,D.J. Augustin\augusdj01,PG,29,ORL,4,0,66,9.1,22.8,0.4,3,10.6,0.286,6.1,12.2,0.5,3,3,1,0,2.3,2.3,6.8,0.8,0,1.5,3.8,24.3,109,115,95.8,104.422,110.17,16.50,32.93,34.39,36.28,-1.89," $7,250,000.00 "," $2,571.13 "," $199,832.65 "," $(3,830,125.74)"," $5,358.46 "," $88,414.63 "
20,Luke Babbitt\babbilu01,SF,27,MIA,4,4,88,5.7,17.1,0.333,5.1,13.7,0.375,0.6,3.4,0.167,0.6,0.6,1,0,5.7,5.7,3.4,0.6,0,0,3.4,17.1,108,106,95.6,103.248,101.336,22.00,43.82,45.24,44.40,0.84," $1,227,000.00 ", $330.76 ," $27,633.85 "," $1,464,594.30 ", $680.16 ," $14,963.41 "
21,Ron Baker\bakerro01,SG,23,NYK,2,0,23,6.4,17,0.375,4.2,8.5,0.5,2.1,8.5,0.25,2.1,4.2,0.5,2.1,2.1,4.2,4.2,2.1,0,2.1,2.1,19.1,102,115,98.4,100.368,113.16,11.50,23.58,23.66,26.68,-3.02," $543,471.00 ", $280.10 ," $20,371.91 "," $(180,213.04)", $576.32 ," $6,627.70 "
22,Wade Baldwin\baldwwa01,PG,20,MEM,5,1,111,4.1,13.8,0.3,0.9,3.2,0.286,3.2,10.6,0.304,1.8,1.8,1,1.4,4.6,6,8.7,3.7,1.4,3.7,3.2,11,86,101,94.2,81.012,95.142,22.20,43.57,35.29,41.45,-6.16," $1,793,760.00 ", $619.78 ," $43,274.24 "," $(291,379.86)", $985.37 ," $21,875.12 "
23,Leandro Barbosa\barbole01,SG,34,PHO,4,0,42,8.9,16.8,0.533,1.1,2.2,0.5,7.8,14.5,0.538,1.1,2.2,0.5,1.1,6.7,7.8,4.5,1.1,0,0,3.4,20.1,125,108,102.3,127.875,110.484,10.50,22.38,28.62,24.72,3.89," $4,000,000.00 "," $1,704.66 "," $161,784.50 "," $1,027,807.40 "," $4,645.76 "," $48,780.49 "
24,J.J. Barea\bareajo01,PG,32,DAL,4,1,126,6.8,18.4,0.37,2.8,7.2,0.389,4,11.2,0.357,7.2,7.6,0.947,1.2,4.8,6,8,1.6,0.4,2.4,1.6,23.6,114,111,95.1,108.414,105.561,31.50,62.41,67.66,65.88,1.78," $4,096,950.00 ", $738.43 ," $62,188.11 "," $2,300,959.95 "," $1,586.12 "," $49,962.80 "
25,Harrison Barnes\barneha02,SF,24,DAL,4,4,148,10.2,20.8,0.492,1.7,4.8,0.357,8.5,16,0.532,3.1,3.1,1,1.4,5.8,7.2,0.7,0.3,0.3,1.4,2.7,25.2,110,113,95.1,104.61,107.463,37.00,73.31,76.69,78.78,-2.09," $22,116,750.00 "," $3,517.17 "," $280,751.02 "," $(10,574,955.14)"," $7,289.63 "," $269,716.46 "
26,Matt Barnes\barnema02,SF,36,SAC,5,1,132,5.8,15.1,0.385,3.9,10.4,0.37,1.9,4.6,0.417,1.2,1.5,0.75,1.5,8.1,9.7,7,1.5,0.4,4.6,6.6,16.6,95,106,94,89.3,99.64,26.40,51.70,46.17,51.51,-5.35," $6,125,000.00 "," $1,617.89 "," $118,899.99 "," $(1,145,763.57)"," $2,829.36 "," $74,695.12 "
27,Will Barton\bartowi01,SG,26,DEN,3,3,106,7.1,14.3,0.5,1.8,3.1,0.571,5.4,11.2,0.48,8,8.5,0.947,1.3,5.4,6.7,3.6,0,0.9,1.3,2.2,24.1,139,106,101.4,140.946,107.484,35.33,74.64,105.20,80.23,24.98," $3,533,333.00 ", $409.58 ," $44,041.23 "," $141,465.76 "," $1,219.51 "," $43,089.43 "
28,Brandon Bass\bassbr01,PF,31,LAC,2,0,16,6,15,0.4,3,3,1,3,12,0.25,0,0,,9,3,12,0,3,0,3,6,15,102,92,99.8,101.796,91.816,8.00,16.63,16.93,15.27,1.66," $1,551,659.00 "," $1,117.56 "," $101,601.15 "," $934,730.58 "," $2,365.33 "," $18,922.67 "
29,Nicolas Batum\batumni01,SG,28,CHO,4,4,132,6,18.1,0.333,3,10.5,0.286,3,7.5,0.4,4.9,5.6,0.867,1.5,7.1,8.7,7.9,1.9,0.8,3.4,2.6,19.9,100,100,96.7,96.7,96.7,33.00,66.48,64.29,64.29,0.00," $20,869,566.00 "," $3,958.89 "," $324,629.34 ",#DIV/0!," $7,712.33 "," $254,506.90 "
30,Aron Baynes\baynear01,C,30,DET,5,0,76,9.2,15.9,0.583,0,0,,9.2,15.9,0.583,4,5.3,0.75,5.3,8.6,13.9,0.7,1.3,2,2.6,6.6,22.5,117,98,95.6,111.852,93.688,15.20,30.27,33.86,28.36,5.50," $6,500,000.00 "," $2,340.97 "," $229,176.01 "," $1,182,065.71 "," $5,215.02 "," $79,268.29 "
31,Kent Bazemore\bazemke01,SF,27,ATL,4,4,109,5.7,17.7,0.325,1.3,7.5,0.176,4.4,10.2,0.435,3.5,3.5,1,0,4,4,4.4,3.5,0.4,3.1,4,16.3,87,97,99.7,86.739,96.709,27.25,56.60,49.09,54.74,-5.64," $15,730,338.00 "," $3,907.41 "," $287,376.16 "," $(2,787,548.73)"," $7,039.76 "," $191,833.39 "
32,Bradley Beal\bealbr01,SG,23,WAS,3,3,102,7.8,20.5,0.381,1.9,6.8,0.286,5.8,13.6,0.429,2.9,4.4,0.667,0,1.9,1.9,3.4,1,1.5,2.4,3.9,20.5,89,117,96.5,85.885,112.905,34.00,68.35,58.71,77.18,-18.47," $22,116,750.00 "," $4,594.36 "," $286,578.19 "," $(1,197,487.45)"," $7,932.84 "," $269,716.46 "
33,Michael Beasley\beaslmi01,SF,28,MIL,4,0,57,9.4,17.9,0.524,0,2.6,0,9.4,15.4,0.611,2.6,5.1,0.5,0.9,2.6,3.4,2.6,2.6,0.9,3.4,5.1,21.4,92,110,98.6,90.712,108.46,14.25,29.27,26.55,31.75,-5.20," $1,403,611.00 ", $644.64 ," $44,210.62 "," $(270,176.02)"," $1,201.21 "," $17,117.21 "
34,Marco Belinelli\belinma01,SG,30,CHO,4,0,100,6,15.9,0.375,2.5,7,0.357,3.5,8.9,0.389,3,3,1,0,4.5,4.5,3,1,0,0,4,17.4,110,104,96.7,106.37,100.568,25.00,50.36,53.57,50.65,2.92," $6,333,333.00 "," $1,441.70 "," $125,039.51 "," $2,167,351.51 "," $3,089.43 "," $77,235.77 "
35,DeAndre' Bembry\bembrde01,SF,22,ATL,2,0,9,10.7,21.4,0.5,0,5.3,0,10.7,16,0.667,0,0,,5.3,10.7,16,0,0,0,0,0,21.4,111,102,99.7,110.667,101.694,4.50,9.35,10.34,9.51,0.84," $1,499,760.00 "," $1,768.17 "," $157,782.92 "," $1,788,206.48 "," $4,064.39 "," $18,289.76 "
36,Dragan Bender\bendedr01,PF,19,PHO,4,0,29,6.5,14.6,0.444,3.2,8.1,0.4,3.2,6.5,0.5,0,0,,1.6,4.9,6.5,3.2,4.9,0,0,3.2,16.2,124,101,102.3,126.852,103.323,7.25,15.45,19.60,15.97,3.64," $4,276,320.00 "," $2,660.64 "," $267,855.63 "," $1,176,235.61 "," $7,193.14 "," $52,150.24 "
37,Anthony Bennett\bennean01,PF,23,BRK,2,0,30,8,25.4,0.313,4.8,15.9,0.3,3.2,9.5,0.333,4.8,6.4,0.75,0,3.2,3.2,3.2,3.2,0,1.6,4.8,25.4,96,109,100.6,96.576,109.654,15.00,31.44,30.36,34.47,-4.11," $1,015,696.00 ", $407.97 ," $29,463.97 "," $(247,044.05)", $825.77 ," $12,386.54 "
38,Davis Bertans\bertada01,PF,24,SAS,3,0,33,7.7,13.9,0.556,6.2,9.3,0.667,1.5,4.6,0.333,0,0,,3.1,4.6,7.7,0,0,4.6,3.1,4.6,21.7,121,101,93.9,113.619,94.839,11.00,21.52,24.45,20.41,4.04," $543,471.00 ", $271.08 ," $26,630.07 "," $134,481.87 ", $602.52 ," $6,627.70 "
39,Bismack Biyombo\biyombi01,C,24,ORL,3,0,63,1.6,7.2,0.222,0,0,,1.6,7.2,0.222,2.4,4.8,0.5,9.5,6.4,15.9,1.6,0,2.4,4,6.4,5.6,79,112,95.8,75.682,107.296,21.00,41.91,31.72,44.97,-13.25," $17,000,000.00 "," $6,535.80 "," $378,026.13 "," $(1,282,997.78)"," $9,872.24 "," $207,317.07 "
40,Nemanja Bjelica\bjeline01,PF,28,MIN,3,0,46,3.3,13.4,0.25,1.1,6.7,0.167,2.2,6.7,0.333,2.2,4.5,0.5,3.3,11.2,14.5,3.3,1.1,2.2,3.3,10,10,78,99,93.5,72.93,92.565,15.33,29.87,21.78,27.65,-5.86," $3,800,000.00 "," $2,127.44 "," $137,445.28 "," $(647,956.34)"," $3,022.27 "," $46,341.46 "
41,Tarik Black\blackta01,C,25,LAL,5,0,67,6.4,11.3,0.563,0,0,,6.4,11.3,0.563,4.2,4.2,1,7.1,11.3,18.4,0.7,0.7,1.4,2.1,11.3,17,130,108,101.3,131.69,109.404,13.40,28.28,37.24,30.94,6.30," $6,191,000.00 "," $2,027.31 "," $200,103.46 "," $982,326.07 "," $5,634.33 "," $75,500.00 "
42,Eric Bledsoe\bledser01,PG,27,PHO,5,5,175,8,19.3,0.417,1.1,5.4,0.2,7,13.9,0.5,5.9,8.3,0.71,1.1,7.2,8.3,7,1.6,0,2.9,4.6,23.1,103,107,102.3,105.369,109.461,35.00,74.59,78.60,81.65,-3.05," $14,000,000.00 "," $2,172.20 "," $171,461.33 "," $(4,586,590.53)"," $4,878.05 "," $170,731.71 "
43,Bojan Bogdanovic\bogdabo02,SF,27,BRK,5,5,135,9.5,19.8,0.482,3.5,9.5,0.37,6,10.2,0.586,4.6,4.9,0.929,2.5,4.9,7.4,1.4,0.4,0.4,2.5,3.9,27.2,118,113,100.6,118.708,113.678,27.00,56.59,67.17,64.33,2.85," $3,573,020.00 ", $648.67 ," $55,544.17 "," $1,255,298.34 "," $1,613.83 "," $43,573.41 "
44,Andrew Bogut\bogutan01,C,32,DAL,4,4,92,4.9,9.9,0.5,0,0,,4.9,9.9,0.5,0,2.2,0,3.8,18.7,22.5,3.3,1.1,1.1,4.4,6.6,9.9,82,104,95.1,77.982,98.904,23.00,45.57,35.54,45.07,-9.53," $11,027,027.00 "," $3,784.28 "," $244,668.17 "," $(1,156,613.15)"," $5,846.78 "," $134,475.94 "
45,Joel Bolomboy\bolomjo01,PF,23,UTA,2,0,5,10.6,10.6,1,0,0,,10.6,10.6,1,10.6,21.1,0.5,0,10.6,10.6,10.6,10.6,10.6,0,0,31.7,171,67,90.8,155.268,60.836,2.50,4.73,7.34,2.88,4.47," $600,000.00 ", $996.49 ," $208,547.98 "," $134,353.02 "," $2,926.83 "," $7,317.07 "
46,Devin Booker\bookede01,SG,20,PHO,4,4,135,8.7,22.2,0.391,1.4,5.9,0.235,7.3,16.3,0.447,2.4,4.9,0.5,0.7,3.1,3.8,2.8,0.7,0.3,3.1,3.8,21.2,84,110,102.3,85.932,112.53,33.75,71.93,61.81,80.94,-19.13," $2,223,600.00 ", $438.71 ," $27,471.36 "," $(116,224.99)", $803.47 ," $27,117.07 "
47,Trevor Booker\booketr01,PF,29,BRK,5,5,131,6.2,13.1,0.472,0,2.5,0,6.2,10.6,0.586,2.5,2.9,0.875,2.5,13.5,16,3.6,4,1.1,1.8,3.3,14.9,109,99,100.6,109.654,99.594,26.20,54.91,60.21,54.69,5.52," $9,250,000.00 "," $1,873.46 "," $169,141.63 "," $1,674,502.18 "," $4,305.53 "," $112,804.88 "
48,Avery Bradley\bradlav01,SG,26,BOS,4,4,149,10,20.3,0.492,4.3,8.3,0.52,5.6,12,0.472,1.3,2,0.667,2.7,7.6,10.3,6,0.7,0.3,2.3,4.7,25.6,118,111,97,114.46,107.67,37.25,75.28,86.16,81.05,5.11," $8,269,663.00 "," $1,170.48 "," $102,031.98 "," $1,617,935.72 "," $2,707.37 "," $100,849.55 "
49,Corey Brewer\breweco01,SF,30,HOU,5,0,76,6.6,13.1,0.5,1.3,3.9,0.333,5.3,9.2,0.571,2,3.9,0.5,1.3,5.3,6.6,6.6,1.3,0,1.3,7.2,16.4,122,114,96.1,117.242,109.554,15.20,30.43,35.68,33.34,2.34," $7,600,000.00 "," $2,597.71 "," $227,960.51 "," $3,248,437.23 "," $6,097.56 "," $92,682.93 "
50,Malcolm Brogdon\brogdma01,SG,24,MIL,4,0,75,7.8,19.5,0.4,0.6,3.9,0.167,7.1,15.6,0.458,3.2,3.9,0.833,0.6,5.8,6.5,6.5,3.9,0,2.6,2.6,19.5,94,106,98.6,92.684,104.516,18.75,38.52,35.70,40.25,-4.56," $925,000.00 ", $316.00 ," $22,978.52 "," $(202,976.90)", $601.63 ," $11,280.49 "
51,Aaron Brooks\brookaa01,PG,32,IND,1,0,16,9,20.9,0.429,3,9,0.333,6,11.9,0.5,3,6,0.5,3,0,3,6,0,3,0,3,23.9,117,116,100.4,117.468,116.464,16.00,33.47,39.31,38.98,0.34," $2,700,000.00 ", $837.56 ," $69,272.30 "," $8,035,586.74 "," $2,057.93 "," $32,926.83 "
52,Bobby Brown\brownbo02,PG,32,HOU,3,0,9,0,27.7,0,0,11.1,0,0,16.6,0,0,0,,0,0,0,0,0,0,0,5.5,0,0,120,96.1,0,115.32,3.00,6.01,0.00,6.93,-6.93," $980,431.00 ",#DIV/0!," $141,549.71 "," $(141,549.71)"," $3,985.49 "," $11,956.48 "
53,Jaylen Brown\brownja02,SF,20,BOS,4,0,64,8.5,15.5,0.55,0.8,2.3,0.333,7.7,13.1,0.588,3.1,3.9,0.8,1.5,3.1,4.6,1.5,1.5,1.5,1.5,7,20.9,115,112,97,111.55,108.64,16.00,32.33,36.07,35.13,0.94," $4,743,000.00 "," $1,603.69 "," $135,024.60 "," $5,040,918.27 "," $3,615.09 "," $57,841.46 "
54,Nicolas Brussino\brussni01,SF,23,DAL,3,0,4,0,12.6,0,0,0,,0,12.6,0,37.9,50.5,0.75,0,0,0,12.6,12.6,0,0,0,37.9,132,89,95.1,125.532,84.639,1.33,2.64,3.32,2.24,1.08," $543,471.00 "," $1,998.62 "," $243,068.03 "," $503,094.29 "," $4,970.77 "," $6,627.70 "
55,Trey Burke\burketr01,PG,24,WAS,3,0,40,6.2,13.7,0.455,0,2.5,0,6.2,11.2,0.556,1.2,3.7,0.333,0,2.5,2.5,3.7,1.2,1.2,6.2,2.5,13.7,68,117,96.5,65.62,112.905,13.33,26.81,17.59,30.26,-12.68," $3,386,598.00 "," $2,347.95 "," $111,898.86 "," $(267,187.07)"," $3,097.50 "," $41,299.98 "
56,Jimmy Butler\butleji01,SF,27,CHI,4,4,126,10.3,22.6,0.456,3.2,6.3,0.5,7.1,16.2,0.439,9.9,11.9,0.833,3.2,7.5,10.7,4,1.2,0,1.2,4.7,33.6,135,105,96.3,130.005,101.115,31.50,63.20,82.16,63.90,18.26," $17,552,209.00 "," $2,605.33 "," $274,675.92 "," $961,365.73 "," $6,795.28 "," $214,051.33 "
57,Jose Calderon\caldejo01,PG,35,LAL,2,0,22,6.5,10.8,0.6,2.2,6.5,0.333,4.3,4.3,1,4.3,4.3,1,0,4.3,4.3,4.3,2.2,0,8.6,2.2,19.4,93,112,101.3,94.209,113.456,11.00,23.21,21.87,26.34,-4.47," $7,708,427.00 "," $4,298.32 "," $292,669.46 "," $(1,725,209.43)"," $8,545.93 "," $94,005.21 "
58,Kentavious Caldwell-Pope\caldwke01,SG,23,DET,5,5,167,6.6,15.6,0.423,2.4,7.5,0.32,4.2,8.1,0.519,3.6,3.6,1,1.8,3.3,5.1,3.3,3.3,0,1.8,2.4,19.2,113,99,95.6,108.028,94.644,33.40,66.52,71.86,62.96,8.90," $3,678,319.00 ", $624.22 ," $58,424.25 "," $413,142.94 "," $1,343.04 "," $44,857.55 "
59,Isaiah Canaan\canaais01,SG,25,CHI,4,0,62,8,16.1,0.5,5.6,12.1,0.467,2.4,4,0.6,2.4,3.2,0.75,0.8,3.2,4,9.6,3.2,0,0.8,4,24.1,153,103,96.3,147.339,99.189,15.50,31.10,45.82,30.84,14.97," $1,015,696.00 ", $270.34 ," $32,929.37 "," $67,834.51 ", $799.13 ," $12,386.54 "
60,Clint Capela\capelca01,C,22,HOU,5,5,117,8.1,14.5,0.559,0,0,,8.1,14.5,0.559,0.9,4.7,0.182,5.1,11.1,16.2,1.3,1.3,2.1,2.6,4.7,17.1,102,108,96.1,98.022,103.788,23.40,46.85,45.92,48.62,-2.70," $1,296,240.00 ", $344.23 ," $26,658.78 "," $(479,858.04)", $675.55 ," $15,807.80 "
61,DeMarre Carroll\carrode01,SF,30,TOR,4,4,117,4.3,13,0.333,3,8.7,0.35,1.3,4.3,0.3,2.6,4.3,0.6,0.9,6.1,6.9,1.3,2.2,1.7,0.4,5.2,14.3,108,102,94.8,102.384,96.696,29.25,57.77,59.15,55.86,3.29," $14,200,000.00 "," $2,927.85 "," $254,206.63 "," $4,321,512.63 "," $5,920.37 "," $173,170.73 "
