Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,TeamPace,AdjORtg,AdjDRtg,avgMin,IndPos,Ortg/Min,DRtg/Min,Diff,Salary,$/OffCont,$/DefCont,$/ContDiff,$/Minute,$/game
353,Sasha Vujacic\vujacsa01,SG,32,NYK,3,0,18,5.4,16.3,0.333,0,5.4,0,5.4,10.8,0.5,2.7,5.4,0.5,0,10.8,10.8,8.1,0,0,5.4,5.4,13.6,71,113,98.4,69.864,111.192,6.00,12.30,8.59,13.68,-5.08," $1,410,598.00 "," $2,001.85 "," $103,139.40 "," $(277,494.11)"," $2,867.07 "," $17,202.41 "
354,Dwyane Wade\wadedw01,SG,35,CHI,4,4,118,8.9,21.5,0.412,2.1,5.1,0.417,6.8,16.5,0.41,6.8,7.2,0.941,1.7,4.6,6.3,6.3,3,0.8,3.4,3.4,26.6,114,101,96.3,109.782,97.263,29.50,59.18,64.97,57.56,7.41," $23,200,000.00 "," $4,354.48 "," $403,026.18 "," $3,131,203.40 "," $9,590.74 "," $282,926.83 "
355,Dion Waiters\waitedi01,SG,25,MIA,4,4,143,6.7,18.2,0.365,2.1,4.9,0.429,4.6,13.3,0.342,2.5,4.6,0.538,0.7,6,6.7,4.9,1.1,1.1,4.6,3.5,17.9,82,103,95.6,78.392,98.468,35.75,71.20,55.82,70.11,-14.29," $2,898,000.00 ", $633.17 ," $41,334.30 "," $(202,734.89)", $988.57 ," $35,341.46 "
356,Kemba Walker\walkeke02,PG,26,CHO,4,4,135,10.7,23.2,0.46,4,9.2,0.44,6.6,14,0.474,8.5,9.9,0.852,0.4,2.9,3.3,8.1,2.6,0,3.7,1.8,33.8,117,102,96.7,113.139,98.634,33.75,67.99,76.93,67.06,9.86," $12,000,000.00 "," $1,902.37 "," $178,935.12 "," $1,216,758.81 "," $4,336.04 "," $146,341.46 "
357,John Wall\walljo01,PG,26,WAS,3,3,104,11.5,25.3,0.453,0.5,3.8,0.125,11,21.5,0.511,8.6,10,0.857,1.4,3.8,5.3,16.3,3.8,1.4,9.1,4.3,32,100,110,96.5,96.5,106.15,34.67,69.69,67.26,73.98,-6.73," $16,957,900.00 "," $3,074.91 "," $229,220.74 "," $(2,521,428.14)"," $5,965.49 "," $206,803.66 "
358,Taurean Waller-Prince\princta02,SF,22,ATL,2,0,10,4.8,9.6,0.5,0,4.8,0,4.8,4.8,1,9.6,9.6,1,0,0,0,9.6,4.8,0,4.8,4.8,19.3,122,97,99.7,121.634,96.709,5.00,10.39,12.63,10.04,2.59," $2,318,280.00 "," $2,238.07 "," $230,820.87 "," $895,584.97 "," $5,654.34 "," $28,271.71 "
359,T.J. Warren\warretj01,SF,23,PHO,5,5,180,11.7,23.2,0.506,0.8,2.6,0.3,10.9,20.6,0.532,5,5.7,0.864,3.1,5,8.1,1,2.3,0.5,1.3,5.2,29.2,116,106,102.3,118.668,108.438,36.00,76.73,91.05,83.20,7.85," $2,128,920.00 ", $285.15 ," $25,588.27 "," $271,235.68 ", $721.18 ," $25,962.44 "
360,C.J. Watson\watsocj01,PG,32,ORL,2,0,16,0,6.3,0,0,0,,0,6.3,0,3.1,6.3,0.5,3.1,0,3.1,6.3,0,0,0,3.1,3.1,84,119,95.8,80.472,114.002,8.00,15.97,12.85,18.20,-5.35," $5,000,000.00 "," $4,745.67 "," $274,690.27 "," $(933,946.92)"," $7,621.95 "," $60,975.61 "
361,David West\westda01,PF,36,GSW,4,0,38,7.3,17.1,0.429,0,1.2,0,7.3,15.9,0.462,1.2,2.4,0.5,3.7,8.5,12.2,3.7,2.4,2.4,6.1,6.1,15.9,77,104,103.6,79.772,107.744,9.50,20.50,16.36,22.09,-5.74," $1,551,659.00 "," $1,156.88 "," $70,236.21 "," $(270,539.47)"," $1,991.86 "," $18,922.67 "
362,Russell Westbrook\westbru01,PG,28,OKC,4,4,148,16.6,36.3,0.457,2.5,7.8,0.32,14.1,28.5,0.495,11.6,14.4,0.804,3.1,10.3,13.4,12.5,1.9,0.3,7.5,3.8,47.2,110,90,103.7,114.07,93.33,37.00,79.94,91.18,74.60,16.58," $26,540,100.00 "," $3,549.59 "," $355,747.65 "," $1,600,864.45 "," $8,747.56 "," $323,659.76 "
363,Isaiah Whitehead\whiteis01,PG,21,BRK,4,0,53,5.4,15.3,0.353,0.9,2.7,0.333,4.5,12.6,0.357,0.9,1.8,0.5,1.8,6.3,8.1,7.2,0.9,0,10.8,9.9,12.6,62,112,100.6,62.372,112.672,13.25,27.77,17.32,31.29,-13.97," $1,074,145.00 ", $756.29 ," $34,330.04 "," $(76,899.29)", $988.63 ," $13,099.33 "
